customer_id,customer_name,gender,age,city,customer_segment
C00001,Maha Mahmoud,Male,27,Medina,Standard
C00002,Faisal Farooq,Female,26,Mecca,Value
C00003,Lina Abdullah,Male,60,Riyadh,Standard
C00004,Saad Saeed,Male,32,Jeddah,Value
C00005,Aisha Ibrahim,Male,38,Jeddah,Value
C00006,Maha Saleh,Female,54,Jeddah,Value
C00007,Khalid Mahmoud,Male,66,Dammam,Standard
C00008,Fatimah Saleh,Female,58,Riyadh,Standard
C00009,Hassan Saleh,Male,24,Medina,Standard
C00010,Mohammed Farooq,Male,60,Riyadh,Value
C00011,Mohammed Saeed,Male,63,Medina,Value
C00012,Khalid Hassan,Male,39,Riyadh,Standard
C00013,Reem Ahmed,Male,56,Medina,Standard
C00014,Faisal Farooq,Female,27,Dammam,Premium
C00015,Saad Rahman,Female,37,Jeddah,Standard
C00016,Aisha Mahmoud,Female,57,Mecca,Standard
C00017,Maha Ansari,Male,58,Jeddah,Value
C00018,Mohammed Saleh,Male,20,Khobar,Standard
C00019,Faisal Ibrahim,Male,69,Taif,Value
C00020,Maryam Rahman,Male,68,Dammam,Standard
C00021,Ibrahim Khan,Male,54,Mecca,Standard
C00022,Aisha Yousuf,Female,57,Jeddah,Standard
C00023,Fatimah Hassan,Female,24,Dammam,Standard
C00024,Sara Mahmoud,Female,55,Riyadh,Standard
C00025,Yousef Rahman,Male,49,Khobar,Value
C00026,Faisal Yousuf,Male,36,Riyadh,Value
C00027,Reem Ali,Male,62,Taif,Premium
C00028,Mohammed Khan,Female,45,Medina,Value
C00029,Khalid Saleh,Female,20,Riyadh,Premium
C00030,Khalid Ahmed,Female,45,Mecca,Standard
C00031,Faisal Ahmed,Female,61,Riyadh,Standard
C00032,Fatimah Saleh,Female,38,Jeddah,Value
C00033,Reem Rahman,Female,45,Jeddah,Premium
C00034,Amal Hassan,Male,58,Dammam,Standard
C00035,Reem Saeed,Female,34,Mecca,Value
C00036,Abdullah Ali,Female,37,Mecca,Standard
C00037,Yousef Mahmoud,Male,45,Taif,Standard
C00038,Ahmed Mahmoud,Female,40,Taif,Standard
C00039,Aisha Saeed,Female,32,Taif,Premium
C00040,Maha Khan,Female,31,Khobar,Value
C00041,Abdullah Farooq,Female,30,Taif,Standard
C00042,Mohammed Mahmoud,Female,63,Medina,Standard
C00043,Abdullah Ahmed,Male,47,Taif,Premium
C00044,Yousef Mahmoud,Male,31,Jeddah,Value
C00045,Maryam Yousuf,Male,68,Dammam,Value
C00046,Amal Malik,Female,24,Medina,Value
C00047,Maryam Al-Qahtani,Male,69,Medina,Standard
C00048,Omar Mahmoud,Male,34,Medina,Premium
C00049,Amal Saleh,Male,31,Dammam,Premium
C00050,Maha Yousuf,Male,58,Khobar,Premium
C00051,Mohammed Saleh,Female,63,Medina,Value
C00052,Reem Malik,Male,66,Medina,Standard
C00053,Maha Hassan,Male,38,Taif,Standard
C00054,Khalid Ahmed,Male,61,Riyadh,Value
C00055,Ibrahim Khan,Male,52,Riyadh,Premium
C00056,Yousef Malik,Female,40,Taif,Premium
C00057,Maha Al-Qahtani,Female,32,Riyadh,Standard
C00058,Yousef Rahman,Male,68,Medina,Standard
C00059,Omar Ibrahim,Female,24,Khobar,Premium
C00060,Nora Ahmed,Male,39,Khobar,Value
C00061,Ibrahim Ali,Female,25,Taif,Standard
C00062,Lina Ali,Female,29,Medina,Premium
C00063,Hassan Ali,Male,46,Mecca,Standard
C00064,Abdullah Malik,Male,37,Riyadh,Standard
C00065,Maha Ali,Male,25,Dammam,Value
C00066,Saad Rahman,Male,70,Riyadh,Standard
C00067,Ibrahim Saleh,Male,41,Mecca,Standard
C00068,Maryam Ansari,Female,56,Taif,Value
C00069,Sara Yousuf,Male,36,Dammam,Premium
C00070,Ahmed Mahmoud,Male,61,Dammam,Standard
C00071,Nora Farooq,Female,65,Riyadh,Value
C00072,Khalid Mahmoud,Female,42,Dammam,Premium
C00073,Aisha Ibrahim,Female,66,Taif,Value
C00074,Omar Yousuf,Male,50,Taif,Standard
C00075,Aisha Farooq,Male,57,Khobar,Value
C00076,Maryam Al-Qahtani,Male,58,Taif,Standard
C00077,Hassan Hassan,Female,68,Dammam,Standard
C00078,Maryam Saeed,Male,26,Riyadh,Standard
C00079,Faisal Ansari,Male,70,Jeddah,Standard
C00080,Yousef Hassan,Female,34,Riyadh,Standard
C00081,Ahmed Ibrahim,Male,62,Taif,Premium
C00082,Huda Al-Qahtani,Male,48,Riyadh,Value
C00083,Sara Hassan,Female,53,Dammam,Premium
C00084,Faisal Abdullah,Male,47,Khobar,Standard
C00085,Abdullah Farooq,Male,61,Taif,Value
C00086,Sara Abdullah,Male,53,Khobar,Standard
C00087,Khalid Ibrahim,Male,21,Mecca,Value
C00088,Amal Ahmed,Male,46,Jeddah,Standard
